[nvfp4-cache] hit D:\工作内容\AI竞赛\artifacts\official_eval\cache\qwen2.5-0.5b-proxy-v2-attention-default-nvfp4.pt
[candidate] evaluating D:\工作内容\AI竞赛\solutions\20260904_v184_attn-plus4-gate_scoreNA_timeNA\solution.py
[20260904_v184_attn-plus4-gate_scoreNA_timeNA] Attention calibration: 24 layer states
[v184] +4 window rejected base=0.000013 cand=0.000013
[v184] +4 window rejected base=0.000779 cand=0.000776
[v184] +4 window rejected base=0.000643 cand=0.000643
[v184] +4 window rejected base=0.000839 cand=0.000839
[v184] +4 window rejected base=0.001094 cand=0.001094
[v184] +4 window rejected base=0.000945 cand=0.000946
[v184] +4 window rejected base=0.001192 cand=0.001194
[v184] +4 window rejected base=0.001642 cand=0.001636
[v184] +4 window ACCEPTED base=0.003231 cand=0.003214
[v184] +4 window rejected base=0.002670 cand=0.002608
[v184] +4 window rejected base=0.001837 cand=0.001837
[v184] +4 window ACCEPTED base=0.002428 cand=0.001274
[v184] +4 window rejected base=0.001846 cand=0.001844
[v184] +4 window rejected base=0.001302 cand=0.001453
[v184] +4 window rejected base=0.002398 cand=0.002391
[v184] +4 window ACCEPTED base=0.002077 cand=0.002030
[v184] +4 window rejected base=0.002087 cand=0.001993
[v184] +4 window ACCEPTED base=0.001890 cand=0.001858
[v184] +4 window rejected base=0.002463 cand=0.002456
[v184] +4 window rejected base=0.003893 cand=0.003880
[v184] +4 window rejected base=0.004369 cand=0.004367
[v184] +4 window rejected base=0.006729 cand=0.006718
[v184] +4 window rejected base=0.003673 cand=0.003671
[v184] +4 window rejected base=0.006596 cand=0.006631
[20260904_v184_attn-plus4-gate_scoreNA_timeNA] Attention scoring: 120 cases
