[cross-model:opt-125m] evaluating D:\工作内容\AI竞赛\solutions\20260904_v184_attn-plus4-gate_scoreNA_timeNA\solution.py
[20260904_v184_attn-plus4-gate_scoreNA_timeNA] Attention calibration: 12 layer states
[v184] +4 window rejected base=0.000019 cand=0.000019
[v184] +4 window rejected base=0.000012 cand=0.000012
[v184] +4 window ACCEPTED base=0.000033 cand=0.000033
[v184] +4 window rejected base=0.000033 cand=0.000033
[v184] +4 window rejected base=0.000066 cand=0.000065
[v184] +4 window rejected base=0.000075 cand=0.000075
[v184] +4 window rejected base=0.000081 cand=0.000081
[v184] +4 window rejected base=0.000125 cand=0.000125
[v184] +4 window rejected base=0.000132 cand=0.000117
[v184] +4 window rejected base=0.000141 cand=0.000141
[v184] +4 window rejected base=0.000168 cand=0.000168
[v184] +4 window ACCEPTED base=0.000151 cand=0.000148
[20260904_v184_attn-plus4-gate_scoreNA_timeNA] Attention scoring: 60 cases
