title,url,pdf_url,doi,arxiv_id,saved_path_at_download,download_url,status,message
GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,https://arxiv.org/abs/2210.17323,https://arxiv.org/pdf/2210.17323.pdf,,2210.17323,.research-tmp\papers\001-gptq-accurate-post-training-quantization-for-generative-pre-trained-transformers.pdf,https://arxiv.org/pdf/2210.17323.pdf,success,ok
SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,https://proceedings.mlr.press/v202/xiao23c.html,https://proceedings.mlr.press/v202/xiao23c/xiao23c.pdf,10.48550/arXiv.2211.10438,2211.10438,.research-tmp\papers\002-smoothquant-accurate-and-efficient-post-training-quantization-for-large-language.pdf,https://proceedings.mlr.press/v202/xiao23c/xiao23c.pdf,success,ok
AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html,https://proceedings.mlsys.org/paper_files/paper/2024/file/42a452cbafa9dd64e9ba4aa95cc1ef21-Paper-Conference.pdf,,2306.00978,.research-tmp\papers\003-awq-activation-aware-weight-quantization-for-on-device-llm-compression-and-accel.pdf,https://proceedings.mlsys.org/paper_files/paper/2024/file/42a452cbafa9dd64e9ba4aa95cc1ef21-Paper-Conference.pdf,success,ok
QuIP: 2-Bit Quantization of Large Language Models With Guarantees,https://arxiv.org/abs/2307.13304,https://arxiv.org/pdf/2307.13304.pdf,,2307.13304,.research-tmp\papers\004-quip-2-bit-quantization-of-large-language-models-with-guarantees.pdf,https://arxiv.org/pdf/2307.13304.pdf,success,ok
QuIP#: Even Better LLM Quantization with Hadamard Incoherence and Lattice Codebooks,https://arxiv.org/abs/2402.04396,https://arxiv.org/pdf/2402.04396.pdf,,2402.04396,.research-tmp\papers\005-quip-even-better-llm-quantization-with-hadamard-incoherence-and-lattice-codebook.pdf,https://arxiv.org/pdf/2402.04396.pdf,success,ok
KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache,https://arxiv.org/abs/2402.02750,https://arxiv.org/pdf/2402.02750.pdf,,2402.02750,.research-tmp\papers\006-kivi-a-tuning-free-asymmetric-2bit-quantization-for-kv-cache.pdf,https://arxiv.org/pdf/2402.02750.pdf,success,ok
AffineQuant: Affine Transformation Quantization for Large Language Models,https://arxiv.org/abs/2403.12544,https://arxiv.org/pdf/2403.12544.pdf,,2403.12544,.research-tmp\papers\007-affinequant-affine-transformation-quantization-for-large-language-models.pdf,https://arxiv.org/pdf/2403.12544.pdf,success,ok
QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b5b939436789f76f08b9d0da5e81af7c-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/b5b939436789f76f08b9d0da5e81af7c-Paper-Conference.pdf,10.52202/079017-3180,2404.00456,.research-tmp\papers\008-quarot-outlier-free-4-bit-inference-in-rotated-llms.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/b5b939436789f76f08b9d0da5e81af7c-Paper-Conference.pdf,success,ok
SpinQuant: LLM Quantization with Learned Rotations,https://proceedings.iclr.cc/paper_files/paper/2025/hash/e5b1c0d4866f72393c522c8a00eed4eb-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/e5b1c0d4866f72393c522c8a00eed4eb-Paper-Conference.pdf,,2405.16406,.research-tmp\papers\009-spinquant-llm-quantization-with-learned-rotations.pdf,https://proceedings.iclr.cc/paper_files/paper/2025/file/e5b1c0d4866f72393c522c8a00eed4eb-Paper-Conference.pdf,success,ok
DuQuant: Distributing Outliers via Dual Transformation Makes Stronger Quantized LLMs,https://duquant.github.io/,https://proceedings.neurips.cc/paper_files/paper/2024/file/9febda1c8344cc5f2d51713964864e93-Paper-Conference.pdf,,2406.01721,.research-tmp\papers\010-duquant-distributing-outliers-via-dual-transformation-makes-stronger-quantized-l.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/9febda1c8344cc5f2d51713964864e93-Paper-Conference.pdf,success,ok
FlatQuant: Flatness Matters for LLM Quantization,https://arxiv.org/abs/2410.09426,https://arxiv.org/pdf/2410.09426.pdf,,2410.09426,.research-tmp\papers\011-flatquant-flatness-matters-for-llm-quantization.pdf,https://arxiv.org/pdf/2410.09426.pdf,success,ok
SageAttention2: Efficient Attention with Thorough Outlier Smoothing and Per-thread INT4 Quantization,https://arxiv.org/abs/2411.10958,https://arxiv.org/pdf/2411.10958.pdf,,2411.10958,.research-tmp\papers\012-sageattention2-efficient-attention-with-thorough-outlier-smoothing-and-per-threa.pdf,https://arxiv.org/pdf/2411.10958.pdf,success,ok
OSTQuant: Refining Large Language Model Quantization with Orthogonal and Scaling Transformations,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5cebc89b113920dbff7c79854ba765a3-Abstract-Conference.html,https://arxiv.org/pdf/2501.13987.pdf,,2501.13987,.research-tmp\papers\013-ostquant-refining-large-language-model-quantization-with-orthogonal-and-scaling-.pdf,https://arxiv.org/pdf/2501.13987.pdf,success,ok
RotateKV: Accurate and Robust 2-Bit KV Cache Quantization via Outlier-Aware Adaptive Rotations,https://arxiv.org/abs/2501.16383,https://arxiv.org/pdf/2501.16383.pdf,,2501.16383,.research-tmp\papers\014-rotatekv-accurate-and-robust-2-bit-kv-cache-quantization-via-outlier-aware-adapt.pdf,https://arxiv.org/pdf/2501.16383.pdf,success,ok
Four Over Six: More Accurate NVFP4 Quantization with Adaptive Block Scaling,https://arxiv.org/abs/2512.02010,https://arxiv.org/pdf/2512.02010.pdf,,2512.02010,.research-tmp\papers\015-four-over-six-more-accurate-nvfp4-quantization-with-adaptive-block-scaling.pdf,https://arxiv.org/pdf/2512.02010.pdf,success,ok
DuQuant++: Fine-grained Rotation Enhances Microscaling FP4 Quantization,https://arxiv.org/abs/2604.17789,https://arxiv.org/pdf/2604.17789.pdf,,2604.17789,.research-tmp\papers\016-duquant-fine-grained-rotation-enhances-microscaling-fp4-quantization.pdf,https://arxiv.org/pdf/2604.17789.pdf,success,ok
SOAR: Scale Optimization for Accurate Reconstruction in NVFP4 Quantization,https://arxiv.org/abs/2605.12245,https://arxiv.org/pdf/2605.12245.pdf,,2605.12245,.research-tmp\papers\017-soar-scale-optimization-for-accurate-reconstruction-in-nvfp4-quantization.pdf,https://arxiv.org/pdf/2605.12245.pdf,success,ok
Search Your Block Floating Point Scales!,https://arxiv.org/abs/2605.12464,https://arxiv.org/pdf/2605.12464.pdf,,2605.12464,.research-tmp\papers\018-search-your-block-floating-point-scales.pdf,https://arxiv.org/pdf/2605.12464.pdf,success,ok
ScaleSweep: Accurate NVFP4 Post-Training Quantization via Block Scale Initialization,https://arxiv.org/abs/2606.07618,https://arxiv.org/pdf/2606.07618.pdf,,2606.07618,.research-tmp\papers\019-scalesweep-accurate-nvfp4-post-training-quantization-via-block-scale-initializat.pdf,https://arxiv.org/pdf/2606.07618.pdf,success,ok
FOCUS: FP4 Optimization via Coupled-Relaxation and Dual-Granularity Scaling,https://arxiv.org/abs/2608.01847,https://arxiv.org/pdf/2608.01847.pdf,,2608.01847,.research-tmp\papers\020-focus-fp4-optimization-via-coupled-relaxation-and-dual-granularity-scaling.pdf,https://arxiv.org/pdf/2608.01847.pdf,success,ok
