title,url,pdf_url,doi,arxiv_id,authors,venue,publication_date,impact
GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,https://arxiv.org/abs/2210.17323,https://arxiv.org/pdf/2210.17323.pdf,,2210.17323,"Elias Frantar; Saleh Ashkboos; Torsten Hoefler; Dan Alistarh",ICLR 2023,2022-10-31,Second-order adaptive rounding baseline and the ancestor of the current FULL64 solver.
SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,https://proceedings.mlr.press/v202/xiao23c.html,https://proceedings.mlr.press/v202/xiao23c/xiao23c.pdf,10.48550/arXiv.2211.10438,2211.10438,"Guangxuan Xiao; Ji Lin; Mickael Seznec; Hao Wu; Julien Demouth; Song Han",ICML 2023,2022-11-18,Equivalent diagonal scaling between activations and weights.
AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,https://proceedings.mlsys.org/paper_files/paper/2024/hash/42a452cbafa9dd64e9ba4aa95cc1ef21-Abstract-Conference.html,https://proceedings.mlsys.org/paper_files/paper/2024/file/42a452cbafa9dd64e9ba4aa95cc1ef21-Paper-Conference.pdf,,2306.00978,"Ji Lin et al.",MLSys 2024,2023-06-01,Activation-derived saliency and scaling without output reconstruction.
QuIP: 2-Bit Quantization of Large Language Models With Guarantees,https://arxiv.org/abs/2307.13304,https://arxiv.org/pdf/2307.13304.pdf,,2307.13304,"Jerry Chee et al.",arXiv / theoretical PTQ,2023-07-25,Proves the role of Hessian incoherence and LDLQ adaptive rounding.
QuIP#: Even Better LLM Quantization with Hadamard Incoherence and Lattice Codebooks,https://arxiv.org/abs/2402.04396,https://arxiv.org/pdf/2402.04396.pdf,,2402.04396,"Albert Tseng et al.",ICML 2024,2024-02-06,Combines randomized Hadamard incoherence with BlockLDLQ.
KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache,https://arxiv.org/abs/2402.02750,https://arxiv.org/pdf/2402.02750.pdf,,2402.02750,"Zirui Liu et al.",ICML 2024,2024-02-05,Shows that K and V prefer different quantization axes.
AffineQuant: Affine Transformation Quantization for Large Language Models,https://arxiv.org/abs/2403.12544,https://arxiv.org/pdf/2403.12544.pdf,,2403.12544,"Yuexiao Ma et al.",arXiv,2024-03-19,Expands equivalent transformations beyond diagonal scaling.
QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,https://proceedings.neurips.cc/paper_files/paper/2024/hash/b5b939436789f76f08b9d0da5e81af7c-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2024/file/b5b939436789f76f08b9d0da5e81af7c-Paper-Conference.pdf,10.52202/079017-3180,2404.00456,"Saleh Ashkboos et al.",NeurIPS 2024,2024-03-30,Uses exact computational invariances and randomized Hadamard rotations.
SpinQuant: LLM Quantization with Learned Rotations,https://proceedings.iclr.cc/paper_files/paper/2025/hash/e5b1c0d4866f72393c522c8a00eed4eb-Abstract-Conference.html,https://proceedings.iclr.cc/paper_files/paper/2025/file/e5b1c0d4866f72393c522c8a00eed4eb-Paper-Conference.pdf,,2405.16406,"Zechun Liu et al.",ICLR 2025,2024-05-26,Demonstrates that learned rotations materially outperform random rotations.
DuQuant: Distributing Outliers via Dual Transformation Makes Stronger Quantized LLMs,https://duquant.github.io/,https://proceedings.neurips.cc/paper_files/paper/2024/file/9febda1c8344cc5f2d51713964864e93-Paper-Conference.pdf,,2406.01721,"Haokun Lin et al.",NeurIPS 2024 Oral,2024-06-03,Uses outlier-aware rotation plus zigzag permutation and a second rotation.
FlatQuant: Flatness Matters for LLM Quantization,https://arxiv.org/abs/2410.09426,https://arxiv.org/pdf/2410.09426.pdf,,2410.09426,"Yuxuan Sun et al.",ICML 2025,2024-10-12,Uses fast learnable affine transformations rather than fixed Hadamard matrices.
SageAttention2: Efficient Attention with Thorough Outlier Smoothing and Per-thread INT4 Quantization,https://arxiv.org/abs/2411.10958,https://arxiv.org/pdf/2411.10958.pdf,,2411.10958,"Jintao Zhang et al.",ICML 2025,2024-11-17,Provides Q smoothing and attention-specific low-bit error control.
OSTQuant: Refining Large Language Model Quantization with Orthogonal and Scaling Transformations,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5cebc89b113920dbff7c79854ba765a3-Abstract-Conference.html,https://arxiv.org/pdf/2501.13987.pdf,,2501.13987,"Xing Hu et al.",ICLR 2025,2025-01-23,Jointly learns orthogonal and scaling transformations using quantization-space utilization.
RotateKV: Accurate and Robust 2-Bit KV Cache Quantization via Outlier-Aware Adaptive Rotations,https://arxiv.org/abs/2501.16383,https://arxiv.org/pdf/2501.16383.pdf,,2501.16383,"Zunhai Su et al.",IJCAI 2025,2025-01-25,Combines channel reordering and block rotation for Q/K-related outliers.
Four Over Six: More Accurate NVFP4 Quantization with Adaptive Block Scaling,https://arxiv.org/abs/2512.02010,https://arxiv.org/pdf/2512.02010.pdf,,2512.02010,"Jack Cook et al.",arXiv,2025-12-01,Targets FP4 E2M1's large gap between representable magnitudes 4 and 6.
DuQuant++: Fine-grained Rotation Enhances Microscaling FP4 Quantization,https://arxiv.org/abs/2604.17789,https://arxiv.org/pdf/2604.17789.pdf,,2604.17789,"Haokun Lin et al.",arXiv,2026-04-20,Aligns outlier-aware rotation size with microscaling block size.
SOAR: Scale Optimization for Accurate Reconstruction in NVFP4 Quantization,https://arxiv.org/abs/2605.12245,https://arxiv.org/pdf/2605.12245.pdf,,2605.12245,"Chengzhu Bao et al.",arXiv,2026-05-12,Jointly optimizes global and block scales and decouples encode/decode scales.
Search Your Block Floating Point Scales!,https://arxiv.org/abs/2605.12464,https://arxiv.org/pdf/2605.12464.pdf,,2605.12464,"Tanmaey Gupta et al.",arXiv,2026-05-12,Fine-grained block-scale search directly improves FP4 PTQ and attention.
ScaleSweep: Accurate NVFP4 Post-Training Quantization via Block Scale Initialization,https://arxiv.org/abs/2606.07618,https://arxiv.org/pdf/2606.07618.pdf,,2606.07618,"Li Lin; Xiaojun Wan",arXiv,2026-05-30,Derives bounded MSE and weighted-MSE searches over FP8 block scales.
